Code,Move,Domain,Type,Resources,Key_Words
10,Make a statement,Political,Make a public statement,"Diplomacy, Legitimacy","Said, say, statement, state, announce"
11,Decline comment,Political,Make a public statement,"Political, Diplomacy","Declined to comment, refused to comment, didn't comment, didn't say"
12,Make a pessimistic comment,Political,Make a public statement,"Human, Diplomacy, Legitimacy","Skeptical, pessimistic, doubtful, dubious, negative comment"
13,Make optimistic comment,Political,Make a public statement,"Information, Diplomacy","Said, confident, optimism, hoped, improvement, optimistic"
14,Consider policy option,Political,Make a public statement,Information,"Exploring, possibility, considering, review, reflect upon, study, policy option"
15,Acknowledge or claim responsibility,Political,Make a public statement,"Information, Diplomacy","Admit error, wrong doing, claim responsibility, retract statement, without expression of remorse, non-apologetically claim responsibility"
16,Deny responsibility,Political,Make a public statement,"Legitimacy, Political, Diplomacy","Discard accusastions, discard charges, deny accusations, deny charges, denied, rejected"
17,Engage in symbolic act,Political,Make a public statement,"Legitimacy, Political, Social (?)","Holding vigils, attending funerals, laying wreath, attending ceremony, symbolic, symbolism"
18,Make empathetic comment,Political,Make a public statement,"Information, Diplomacy, Political","Express empathy, express condolences, express sympathy, express understanding"
19,Express accord,Political,Make a public statement,"Information, Political, Diplomacy","Common understanding, agreement, accord, need for progress, commitment, intent, cooperate, reciprocal"
20,Make an appeal or request,Diplomatic,Appeal,"Diplomacy, Political, Information","Agree, support, agreement, express support, corroborate"
21,Appeal for material cooperation,Economic,Appeal,"Economic, Information","Request material cooperation, appeal for material cooperation, urged, repatriate, join forces, called on"
211,Appeal for economic cooperation,Economic,Appeal,"Economic, Information","Make an appeal for, request, or suggest intitating or expanding economic ties, free trade, business, called for"
212,Appeal for military cooperation,Military,Appeal,"Military, Information","Make an appeal for, request, or suggest initiating or expanding military ties"
213,Appeal for judicial cooperation,Political,Appeal,"Political, Diplomacy","Mutual assistance, legal agreement, support of judgement"
214,Appeal for intelligence,Information,Appeal,"Legitimacy, Information, Political","Appeal for intelligence, request intelligence, intelligence sharing, information, suggest sharing intelligence, develop or expand intelligence, information"
22,Appeal for diplomatic cooperation,Diplomatic,Appeal,"Diplomacy, Political, Information","Appeal for diplomacy, Track II, political rapproachment, diplomatic exchange"
23,Appeal for material aid,Economic,Appeal,"Economic, Information","request aid, ask for aid, ask for help, request assistance, entreaty for assistance"
231,Appeal for economic aid,Economic,Appeal,"Economic, Information","request funds, request loan, ask for funds, ask for loan, financial aid, development support"
232,Appeal for military aid,Military,Appeal,"Economic, Military","Make an appeal for, request or suggest military assistance, military aid, asked for military aid, joing military actions, multilateral military aid"
233,Appeal for humanitarian aid,Diplomatic,Appeal,"Diplomacy, Political, Information","Make an appeal for, request or suggest humanitarian assistance; requests for food, requests for medicine, requests for shelter and protection; called on; helped save; starvation; sickness; poverty"
234,Appeal for military protection or peacekeeping,Military,Appeal,"Diplomacy, Military","Make an appeal for, request or suggest deployment of peacekeepers, preserve peace, enforce ceasefirs, protect civilians, send peacekeeping troops"
24,Appeal for political reform,Political,Appeal,"Political, Legitimacy, Information","Request reform, ask for policy change, ask for change in policy, desire reform"
241,Appeal for change in leadership,Political,Appeal,"Human, Political","Request political transition, ask for change in leadership, ask for resignation, request that leader step down"
242,Appeal for policy change,Political,Appeal,"Political, Information","Request reform, ask for policy reform, in support of political reform"
243,Appeal for rights,Political,Appeal,"Political, Social","Request to increase rights, ask that they allow more rights, ask for rights, request that they amend their rights"
244,"Appeal for change in institutions, regime",Political,Appeal,"Political, Legitimacy","Institutional reform, in support of intstitutional reform, ask for change in institutions"
25,Appeal to yield,Political,Appeal,"Legitimacy, Political, Social (?)","Ask for concession, request that they yield, concede, request that they cease"
251,Appeal for easing of administrative sanctions,Political,Appeal,"Economic, Political","Lessen sanctions, repeal sanctions, request that sanctions be eased"
252,Appeal for easing of political dissent,Political,Appeal,"Political, Social","Call for end of political dissent, request more political support, ask that opposition yield"
253,Appeal for release of persons or property,Political,Appeal,"Human, Political","Request release of prisoners, ask that property be returned, ask that prisoners be let go, request the release of property"
254,"Appeal for easing of economic sanctions, boycott, or embargo",Economic,Appeal,"Economic, Information","Request lessening of trade sanctions, ask that the economic sanctions be removed"
255,Appeal for target to allow international involvment (non-mediation),Diplomatic,Appeal,"Diplomacy, Political, Information","Entry of international actors, observers, humanitarian agencies, peacekeeping forces, appealed, Allow for international actors, request international actors "
256,Appeal for target for de-escalation of military engagement,Military,Appeal,"Political, Military, Legitimacy","Request a cessation of the hostilities, ask that the fighting stops, called for both sides to disarm, request a de-escalation in the conflict"
26,Appeal for others to meet or negotiate,Diplomatic,Appeal,"Diplomacy, Political, Information","Propose or suggest a meeting, discussion among parties, negotiation, requested meeting, request negotiations"
27,Appeal for others to settle disputes,Diplomatic,Appeal,"Diplomacy, Political, Information","Settle dispute, reach a settlement, resolve a coflict, reach an agreement, resolution of conflict"
28,Appeal to engage in or accept mediation,Diplomatic,Appeal,"Diplomacy, Political, Information","Propose or suggest, mediates, accept mediation, called on, broker an agreement"
29,"Appeal to following, not specified",Social,Appeal,"Diplomacy, Social, Legitimacy","Call on followers, ask followers, put out a call to following"
291,"Appeal to religious following, not specified",Social,Appeal,"Legitimacy, Social, Informaton","Call on congregation, spoke to the sect's following, body, chapter, denomination, school"
292,"Appeal to ethno-political following, not specified",Social,Appeal,"Legitimacy, Social, Informaton",
293,"Appeal to internet following, not specified",Social,Appeal,"Technology, Human Informaton",
294,"Appeal to build/increase information infrastructure, not specified",Infrastructure,Appeal,"Economic, Legitimacy, Political",
2943,Appeal to decrease censorship,Information,Appeal,"Political, Legitimacy, Social",
2944,Appeal to increase information outlets,Information,Appeal,"Political, Legitimacy, Social",
296,"Appeal to build energy infrastructure, not specified",Infrastructure,Appeal,"Natural, Economic, Infrastructure",
296,"Appeal to build social infrastructure, not specified",Infrastructure,Appeal,"Social, Economic Infrastructure",
297,"Appeal to build political infrastructure, not specified",Infrastructure,Appeal,"Political, Economic, Infrastructure",
298,"Appeal to build military infrastructure, not specified",Infrastructure,Appeal,"Military, Economic, Infrastructure",
299,"Appeal  to build/increase economic infrastructure, not specified",Infrastructure,Appeal,"Legitimacy, Information, Political",
29941,Appeal for government funds for alternative energy,Natural,Appeal,"Natural, Economic, Social",
29942,Appeal for alternative energy options,Natural,Appeal,"Natural, Economic",
29943,Appeal for energy cooperation,Natural,Appeal,"Natural, Economic, Legitimacy",
29944,Appeal to share energy resources,Natural,Appeal,"Natural, Economic, Legitimacy",
29945,Express intent to reduce censorship,Information,Express intent,"Political, Diplomacy, Legitimacy",
29946,Express intent to increase censorship,Information,Express intent,"Political, Diplomacy, Legitimacy",
29947,Express intent to reduce information outlets,Information,Express intent,"Political, Diplomacy, Legitimacy",
29948,Express intent to increase information outlets,Information,Express intent,"Political, Diplomacy, Legitimacy",
29949,Express intent to gather/mine natural resources,Natural,Express intent,"Natural, Economic",
29953,Express intent to raise oil prices,Natural,Express intent,"Natural, Economic",
29954,Express intent to raise energy prices,Natural,Express intent,"Natural, Economic",
29955,"Expresss intent to share natural resources , not specified",Natural,Express intent,"Natural, Economic, Diplomacy",
29956,Express intent to share energy resources,Natural,Express intent,"Natural, Economic, Diplomacy",
30,Express intent to cooperate,Diplomatic,Express intent to cooperate,"Diplomacy, Political, Information","Promise cooperation, plan on working together, will corroborate, intend to coordinate, assure cooperation"
31,Express intent to engage in material cooperation,Diplomatic,Express intent to cooperate,"Diplomacy, Political, Information","Guaranteed sharing, intend to pool resources, plan on cooperating"
311,Express intent to cooperate economically,Economic,Express intent to cooperate,"Economic, Information, Diplomacy","Intend to work together towards better economic policies, share economic aid, combine efforts on economic policies"
312,Express intent to cooperate militarily,Military,Express intent to cooperate,"Diplomacy, Military","Promise to share military bases, assured that military coordination would occur, intend to build a military coalition"
313,Express intent to cooperate on judicial matters,Political,Express intent to cooperate,"Diplomacy, Political","Promise to coperate legally/on legal matters, coordinate to ensure that the law is carried out, work together to maintain the justice system, ensure that both parties uphold the law"
314,Express intent to cooperate on intelligence,Information,Express intent to cooperate,"Diplomacy, Information","Promise to share information, accept an intelligence sharing agreement, discuss increasing intelligence coordination, assured that both parties would increase information shared"
32,Express intent to engage in diplomatic cooperation (such as policy support),Diplomatic,Express intent to cooperate,"Diplomacy, Political, Information","Intend to cooperate on policy, work together to find diplomatic solutions, discuss increasing diplomatic coordination, promise to work together on relevant policies"
33,Express intent to provide material aid,Economic,Express intent to cooperate,"Economic, Information, Diplomacy","Intend to aid, promise to provide aid, assure that aid will be given/provided"
331,Express intent to provide economic aid,Economic,Express intent to cooperate,"Economic, Information, Diplomacy","Promise funding, assure financial aid, discuss providing more economic aid"
332,Express intent to provide military protection or peacekeeping,Military,Express intent to cooperate,"Political, Military, Diplomacy","Promise to send peacekeepers, state that peacekeepers will be sent, intend to provide protection, promise military protection"
333,Express intent to provide humanitarian aid,Diplomatic,Express intent to cooperate,"Diplomacy, Political, Information","State that humanitarian assistance will be provided, agree to send humanitarian aid, promise that they will send humanitarian aid"
343,Express intent to provide rights,Political,Express intent to cooperate,"Information, Social, Political","Assure people that rights will be preserved, promise to maintain their political rights, intend to provide more rights, intend to preserve their rights"
34,Express intent to institute political reform ,Political,Express intent to cooperate,"Diplomacy, Legitimacy","Promise reform, Ensure political reform, reassures that political reform will occur, state desire to reform political system"
341,Express intent to change leadership,Political,Express intent to cooperate,"Political, Legitimacy, Information","Promise a change in leadership, state plan to institute a change in leadership, said that leader would step down, reassure that leader would resign"
342,Express intent to change policy,Political,Express intent to cooperate,"Information, Political","State that policy change would occur in response to, reassure public that policy would be changed, discuss changing the policy, intend to reform the policy, state that policy would be updated accordingly"
343,Express intent to provide rights,Political,Express intent to cooperate,"Information, Political","Promise that rights would be maintained, said that plan to increase rights would implemented, assured that they would receive rights"
3431,Express intent to provide diplomatic guidence,Political,Express intent to cooperate,,
344,"Express intent to change institutions, regime",Political,Express intent to cooperate,"Information, Political","Ensure that regime change would occur, promise that the current regime would step down, said that changes would be made to the current regime"
35,Express intent to yield,Diplomatic,Express intent to cooperate,"Diplomacy, Political, Information","Promise to cede, assured that a concession would be made, assure that party/both parties would yield, stated that both sides would yield, assured that a cessation in the hostilities would occur"
351,Express intent to ease administrative sanctions,Political,Express intent to cooperate,"Economic, Diplomacy, Political","Promise to lessen sanctions, intent to let up on sanctions, said that the administrative sanctions would be decreased"
352,Express intent to ease popular dissent,Political,Express intent to cooperate,"Legitimacy, Pollitical","Agree to ameliorate tensions, agree to lessen/decrease tensions, intend to facilitate agreement/consensus, promise to improve relations, appease political disagreement"
353,Express intent to release persons or property,Political,Express intent to cooperate,"Political, Legitmacy, Information","Agree to release prisoners, promise to return property, state that all property would be returned, assured the public that the prisoners would be released"
354,"Express intent to ease economic sanctions, boycott, or embargo",Economic,Express intent to cooperate,"Economic, Information, Diplomacy","Agree to lift the sanctions, discuss the lifting of sanctions, promise to reduce the economic sanctions, say that the trade sanctions would be lifted"
355,Expresss intent to allow international involvement,Political,Express intent to cooperate,"Diplomacy, Political, Information","Promise to include the international community, agree that this problem could be solved with the involvement of the entire international community, say that the international community could solve this problem together"
356,Express intent to de-escalate military engagement,Military,Express intent to cooperate,"Information, Military, Diplomacy","State that military engagement would be lessened, ensure that the conflict is de-escalated, promise to work towards de-escalation"
36,Express intent to meet or negotiate,Diplomatic,Express intent to cooperate,"Diplomacy, Political, Information","Promises to meet, ensures country that negotiations are ongoing, says that the two parties will meet to discuss/negotiate"
37,Express intent to settle dispute,Diplomatic,Express intent to cooperate,"Diplomacy, Political, Information","Will end dispute, ensures that the two parties will end their dispute, promises to end disagreement between the two nations"
38,Express intent to accept mediation,Diplomatic,Express intent to cooperate,"Diplomacy, Political, Information","Says both sides will accept mediation from a third party, promise to be open to third party dispute mediation"
39,Express intent to mediate,Diplomatic,Express intent to cooperate,"Diplomacy, Political, Information","Plans on mediating dispute, ensures that they will act as a mediator, assures that they will participate in the negotiations as a mediator"
3091,"Express intent to build infrastructure, not specified",Infrastructure,Express intent to build infrastructure,"Natural, Economic, Infrastructure",
3092,"Express intent to build energy infrastructure, not specified",Infrastructure,Express intent to build infrastructure,"Natural, Economic, Infrastructure",
3096,"Express intent to build social infrastructure, not specified",Infrastructure,Express intent to build infrastructure,"Social, Economic Infrastructure",
3101,"Express intent to build political infrastructure, not specified",Infrastructure,Express intent to build infrastructure,"Political, Economic, Infrastructure",
3105,"Express intent to build military infrastructure, not specified",Infrastructure,Express intent to build infrastructure,"Military, Economic, Infrastructure",
3109,"Express intent to build/increase information infrastructure, not specified",Infrastructure,Express intent to build infrastructure,"Economic, Diplomacy, Legitimacy",
3112,"Express intent to build/increase economic infrastructure, not specified",Infrastructure,Express intent to build infrastructure,"Legitimacy, Diplomacy, Economic",
40,Consult,Diplomatic,Consult,"Diplomacy, Political, Information","Advise, confer, discuss, share perpsectives"
401,Consult with allies,Diplomatic,Consult,"Diplomacy, Political, Information",
402,Consult with cabinet,Diplomatic,Consult,"Diplomacy, Political, Information",
403,"Call for a meeting (international organization, alliance etc.)",Diplomatic,Consult,"Diplomacy, Political, Information",
41,Discuss by telephone,Diplomatic,Consult,"Diplomacy, Political, Information","Called, spoke over the phone, scheduled a phone call, held an appointment over the phone"
42,Make a visit,Diplomatic,Consult,"Diplomacy, Political, Information","Make an official visit, visitation, accompany with an envoy"
43,Host a visit,Diplomatic,Consult,"Diplomacy, Political, Information","Hosted an ambassador/diplomat, held a meeting during visit, played host to, was houseguest to "
44,"Meet at a ""third"" location",Diplomatic,Consult,"Diplomacy, Political, Information","Neutral meeting place, held a meeting in nuetral territory"
45,Mediate,Diplomatic,Consult,"Diplomacy, Political, Information","Arbitrate, referee, reconcile, intercede, bring to terms, step in, moderate, intermediate, act as a medium, act as a go-between"
46,Engage in negotiation,Diplomatic,Consult,"Diplomacy, Political, Information","Negotiate, contract, make a deal, confer, arrange a deal, settle, treat with, stipulate, bring to terms, cut a deal"
50,Engage in diplomatic cooperation,Diplomatic,Engage in diplomatic cooperation,"Diplomacy, Political, Information","Coordinated efforts, work together, move forward in agreement, partner with, pool resources, share ideas, craft policy together"
51,Praise or endorse,Diplomatic,Engage in diplomatic cooperation,"Diplomacy, Political, Information","Advocate, laud, recommend, approve, commend, vouch for, favor"
52,Defend verbally,Diplomatic,Engage in diplomatic cooperation,"Diplomacy, Political, Information","Maintain, oppose, withstand, preserve, prevent, uphold, foster, fortify, hedge, insure, ensure, watch over, withstand"
53,Rally support or on behalf of,Diplomatic,Engage in diplomatic cooperation,"Diplomacy, Political, Information","Gather, marshall, assemble, encourage, muster, organize, renew, regroup, urge, summon, rouse"
54,Grant diplomatic recognition,Diplomatic,Engage in diplomatic cooperation,"Diplomacy, Political, Information","Acknowledge, sanction, realize, salude, approve of, accept, honor"
55,Apologize,Diplomatic,Engage in diplomatic cooperation,"Diplomacy, Political, Information","Atone, confess, withdraw, ask pardon, ask forgiveness, cop a plea, beg a pardon, make amends, reparations, offer compensation, sorry, make a formal apology"
56,Forgive,Diplomatic,Engage in diplomatic cooperation,"Diplomacy, Political, Information","Grant amnesty, atone, acquit, pardon, exonerate, accept apology, clean slate, move forward"
57,Sign formal agreement ,Diplomatic,Engage in diplomatic cooperation,"Diplomacy, Political, Information","Contract, treaty, charter, accord, enter into an alliance, sign a convention, agree upon a convention, reconciliation, negotiation, agree upon an understanding, come to a settlement"
60,"Engage in material cooperation, not specified",Diplomatic,Engage in in material cooperation,"Political, Diplomacy","Share, assist, help, make a deal, participate, allot, administer, cooperate"
61,Cooperate economically,Economic,Engage in in material cooperation,"Economic, Diplomacy","Collaborate, cooperate, trade together, participate, further economic policy together, develop economic policy as partners"
62,Cooperate militarily,Military,Engage in in material cooperation,"Military, Diplomacy","Ally, provide troops, sell weapons, share bases, base sharing agreement, engage in training programs, send generals to assist, allow military in territory"
63,Engage in judicial cooperation,Political,Engage in material cooperation,"Political, Diplomacy","Support the other's decision, legally support, support administratively"
64,Share intelligence or information,Information,Engage in material cooperation,"Information, Diplomacy, Legitimacy","Certify, corroborate, support, substantiate, trade secrets, receive intelligence, send intelligence, offer logistic support, intelligence sharing agreement"
70,Provide aid,Economic,Provide aid,"Economic, Political, Military, Diplomacy","Subsidize, assist, implement development programs, equip, contribute, minister aid, provision"
71,Provide economic aid,Economic,Provide aid ,"Economic, Political, Diplomacy","Provide a loan, assist financially, provide credit, give an advance, accommodate, provide, lend"
72,Provide military aid,Military,Provide aid,"Military, Diplomacy","Loan weapons, share equipment, provide training programs, assist with military operations, form a military coalition"
73,Provide humanitarian aid,Diplomatic,Provide aid,"Diplomacy, Economic, Political","Provide assistance, help sustain, maintain living conditions, humanitarian assistance programs, aid in human development"
74,Provide military protection or peacekeeping,Military,Provide aid,"Diplomacy, Military","Safeguard, provide insurance, act as a buffer, offer shelter, enforce de-escalation, provide security, secure"
75,Grant asylum,Diplomatic,Provide aid,"Diplomacy, Political","Provide refuge, house refugees, accept refugees, help with resettlement, act as a safe haven"
80,Yield,Political,Yield,"Legitimacy, Political","Accede, concede, cede, abdicate, capitulate, give in, relax, relinquish, resign, submit, fold, come to terms, agreed to yield, give in, hand over"
81,Ease administrative sanctions,Political,Yield,"Political, Economic","Relax sanctions, lessen sanctions, lift sanctions"
811,Ease restrictions on political freedoms,Political,Yield,"Political, Social","Lessen political restrictions, relaxes policies that regulate political freedoms, relinquish hold on political freedoms"
812,Ease ban on political parties or politicians,Political,Yield,"Political, Social","Dismisses ban on political parties, allows political parties to participate, lessens restrictions on political parties, allows for political party to re-form"
813,Ease curfew,Political,Yield,"Military, Social","Lessen curfew, relax curfew, relinquish curfew policies"
814,Ease state of emergency or martial law,Political,Yield,"Military, Legitimacy, Political","Decreases presence of martial law, lessens state of emergency, declares that state of emergency/martial law is no longer in effect"
82,Ease political dissent,Political,Yield,"Legitimacy, Political","Relaxes political disagreement, lessens political dissent, ameliorates political disagreement/dissent, eases tensions between political actors"
83,Accede to requests or demands for political reform,Political,Yield,"Political, Diplomacy","Acquiesce to appeals for political reform, concede to charges for political reform, comply with insistences for political reform, assent to petitions for political reform"
831,Accede to demands for change in leadership,Political,Yield,"Human, Political, Diplomacy","Acquiesce to appeals for leadership change, concede that the leader would step down, assent to appeals for a change in leadership"
832,Accede to demands for change in policy,Political,Yield,"Political, Diplomacy","Accept the charges that policy change should occur, concede to request for change in policy, acquiesce for bids for policy reform"
833,Accede to demands for rights,Political,Yield,"Political, Diplomacy, Information","Concede for demands for more rights, accept that the people should be given more rights"
834,"Accede to demands for change in institutions, regime",Political,Yield,"Diplomacy, Information","Concede for demands to reform the institutions, accept the people's appeals for institutional reform, acquiesce to the calls to change the institutions"
84,"Return, release, not specified below",Political,Yield,"Political, Diplomacy","Discharge, free, surrender, acquit, clear, excuse, liberate, turn lose, yield, reimburse, recompense"
841,"Return, release persons",Political,Yield,"Human, Political, Diplomacy","Discharge prisoners, free detainees, acquit individuals, liberate them"
842,"Return, release property",Political,Yield,"Diplomacy, Material (?)","Recompensate for the property, return stolen goods, return confiscated goods"
85,"Ease economic sanctions, boycott, embargo",Economic,Yield,"Economic, Diplomacy","Lessen trade sanctions, reduce embargos, decrease level of boycott, relax sanctions, lift embargos"
86,Allow international involvement,Diplomatic,Yield,"Diplomacy, Political","Accept international involvement, agree to international presence"
861,Receive deployment of peacekeepers,Diplomatic,Yield,"Diplomacy, Political","Accept peacekeepers, allow involvement of peacekeepers, agree to presence of peacekeepers"
862,Receive inspectors,Diplomatic,Yield,"Diplomacy, Political","Accept inspectors, agree to allow inspectors, allow inspectors"
863,Allow humanitarian access,Diplomatic,Yield,"Diplomacy, Economic, Political","Accept humanitarian involvement, agree to the presence of humanitarian organization, receive humanitarian organization's involvement"
87,De-escalate military engagement,Military,Yield,"Military, Legitimacy","Lessen engagement, decrease level of conflict, "
871,"Declare truce, ceasefire",Military,Yield,"Legitmacy, Information","Demand reprieve, armistice, d̩tente, cessation of hostilities, respite from ongoing conflict"
872,Ease military blockade,Military,Yield,"Miltary, Political","End siege, remove obstructions, cease blockading, lessen blockade"
873,Demobilize armed forces,Military,Yield,"Military, Diplomacy","Disarm, disband, disperse, withdraw, retire"
874,Retreat or surrender militarily,Military,Yield,"Military, Human","Back down, escape, evacuate, fall back, withdraw, decamp, disengage, draw back"
90,Investigate (non-specific),Information,Investigate,"Human, Information","Review, search, interrogate, question, study, examine, consider, inquire, research"
91,"Investigate crime, corruption",Information,Investigate,"Human, Information, Political","Review crime, question malfeasance, investigate, fraud, investigage bribery, investigate nepotism"
92,Investigate human rights abuses,Information,Investigate,"Human, Information, Social","Review human rights abuses, investigate violations of human rights, question treatment of human rights"
93,Investigate military action,Information,Investigate,"Information, Military, Diplomacy","Review operations, question recent military activity, investigate instances where military regulations were violated"
94,Investigate war crimes,Information,Investigate,"Information, Military, Diplomacy","Review war crimes, question if war crimes occurred, investigate cases of war crimes"
100,"Demand, not specified",Political,Demand,"Political, Diplomacy","Appeal, stipulate, require, urge, charge, beseech, command, entreat, compel"
101,Demand material cooperation,Economic,Demand,"Economic, Information, Military, Political","Appeal for  cooperation, require that the other cooperate, urge for sharing of resources"
1011,Demand economic cooperation,Economic,Demand,"Economic, Information, Military, Political","Ask that both sides cooperate economically, appeal for more economic cooperation, require more economic coordination"
1012,Demand military cooperation,Military,Demand,"Political, Legitimacy","Require more military coordination, urge for increased military cooperation, demand sharing of military resources"
1013,Demand judicial cooperation,Political,Demand,"Human, Political","Require legal cooperation, urge for increased coordination on legal issues, appeal to both sides to cooperate judcially"
1014,Demand intelligence cooperation,Information,Demand,"Information, Political, Diplomacy","Require more information sharing, urge that both sides share intelligence, require intelligence sharing"
102,Demand diplomatic cooperation,Diplomatic,Demand,"Diplomacy, Military, Information","Require more diplomatic coordination, urge that both sides cooperate more on diplomatic issues, urge for diplomatic collaboration/coordination"
103,"Demand material aid, not specified",Economic,Demand,"Economic, Information, Military, Political","Require material aid, urge for material aid, require that both sides share resources"
1031,Demand economic aid,Economic,Demand,"Economic, Information, Military, Political","Require economic aid, demand economic help, require that the other countries send economic aid, demand that others send economic aid"
1032,Demand military aid,Military,Demand,"Political, Diplomacy, Legitimacy","Require that they send military aid, demand help with their millitary"
1033,Demand humanitarian aid,Diplomatic,Demand,"Diplomacy, Military, Information","Demand help from humanitarian organizations, required that humanitarian aid be sent, urge that they send humanitarian aid/help"
1034,Demand military protection or peacekeeping,Miltiary,Demand,"Legitimacy, Political","Require the involvement of military peacekeepers, require military protection, urge that military peacekeepers be sent, urge that they send forces for military protection"
104,Demand political reform,Political,Demand,"Political, Social, Information","Demand a reform in politics, require that the country's politics be reformed, urge political reform, require political reform/revival"
1041,Demand leadership change,Political,Demand,"Human, Political","Demand that the leader step down, require a leadership change/change in leadership"
1042,Demand policy change,Political,Demand,"Political, Human, Legitimacy","Require a change in policy, demand a change in policy, urge for the policy to be changed"
1043,Demand rights,Political,Demand,"Human, Political","Require more rights, urge that rights be given, demand an increase in rights"
1044,"Demand change in institutions, regime",Political,Demand,"Human, Social, Political","Require that institutions change, demand a reform of institutions, urge that institutions be changed, require institutional reform"
105,"Demand that target yields, not specified",Political,Demand,"Legitimacy, Political","Require a  cessation/ceasefire, demand a concession, demand that they give in, require concessions"
1051,Demand easing of administrative sanctions,Political,Demand,"Social, Legitimacy","Require an easing of administrative sanctions, demand that adminsitrative sanctions are lessened"
1052,Demand easing of political dissent,Political,Demand,"Political, Legitimacy",
1053,Demand target yields,Political,Demand,"Legitimacy, Political",
1054,"Demand easing of economic sanctions, boycott, or embargo",Economic,Demand,"Economic, Information, Military, Political",
1055,Demand that target allows international involvement (non-mediation),Diplomatic,Demand,"Diplomacy, Military, Information",
106,"Demand meeting, negotiation",Diplomatic,Demand,"Diplomacy, Military, Information",
107,Demand settling of dispute,Diplomatic,Demand,"Diplomacy, Military, Information",
108,Demand mediation,Diplomatic,Demand,"Diplomacy, Military, Information",
1080,"Demand building of infrastructure, not specified",Infrastructure,Demand,"Social, Economic, Infrastructure",
1081,"Demand to build social infrastructure, not specified",Infrastructure,Demand,"Social, Economic Infrastructure",
1086,"Demand to build political infrastructure, not specified",Infrastructure,Demand,"Political, Economic, Infrastructure",
